Date,Open-nflx,High-nflx,Low-nflx,Close-nflx,Adj Close-nflx,Volume-nflx
6/1/12,8.707143,9.104285,8.671429,8.992857,8.992857,35578200
6/4/12,9.035714,9.32,8.91,9.285714,9.285714,35291200
6/5/12,9.287143,9.475715,9.178572,9.261429,9.261429,24048500
6/6/12,9.38,9.767143,9.307143,9.411428,9.411428,30676800
6/7/12,9.514286,9.557143,9.201428,9.234285,9.234285,21045500
6/8/12,9.195714,9.445714,9.104285,9.377143,9.377143,22017100
6/11/12,9.484285,9.512857,8.997143,9,9,22941100
6/12/12,9.037143,9.194285,8.907143,9.002857,9.002857,20797700
6/13/12,8.942857,9.205714,8.875714,8.975715,8.975715,17924900
6/14/12,8.97,9.021428,8.717143,8.951428,8.951428,26137300
6/15/12,9.038571,9.418571,8.961429,9.398571,9.398571,33022500
6/18/12,9.294286,9.564285,9.255714,9.532857,9.532857,22997800
6/19/12,9.557143,10.068571,9.507143,9.975715,9.975715,27706700
6/20/12,9.925714,9.935715,9.658571,9.737143,9.737143,26638500
6/21/12,9.751429,9.777143,9.392858,9.405714,9.405714,17690400
6/22/12,9.462857,9.752857,9.385715,9.694285,9.694285,18074700
6/25/12,9.687143,9.932858,9.485714,9.575714,9.575714,30746100
6/26/12,9.601429,9.672857,9.477143,9.542857,9.542857,15611400
6/27/12,9.575714,9.607142,9.371428,9.498571,9.498571,15383200
6/28/12,9.442857,9.722857,9.397142,9.622857,9.622857,15090600
6/29/12,9.757143,9.822857,9.547143,9.784286,9.784286,19991300
7/2/12,9.824286,9.842857,9.607142,9.692857,9.692857,12992700
7/3/12,9.784286,10.397142,9.672857,10.291429,10.291429,25261600
7/5/12,10.618571,11.842857,10.608571,11.674286,11.674286,104498100
7/6/12,11.962857,12.2,11.46,11.698571,11.698571,85261400
7/9/12,11.854285,12.027143,11.45,11.855714,11.855714,43262800
7/10/12,11.96,11.971429,11.361428,11.461429,11.461429,35242200
7/11/12,11.442857,12.124286,11.411428,11.662857,11.662857,43044400
7/12/12,11.645715,12.214286,11.5,12.138572,12.138572,41447700
7/13/12,12.254286,12.378572,11.988571,12.128572,12.128572,39032000
7/16/12,12.158571,12.221429,11.804286,11.854285,11.854285,20946800
7/17/12,11.892858,11.927143,11.524285,11.682858,11.682858,27820800
7/18/12,11.607142,11.844286,11.534286,11.61,11.61,21576100
7/19/12,11.708571,12.118571,11.645715,11.874286,11.874286,29133300
7/20/12,11.808572,11.931429,11.642858,11.688571,11.688571,24369800
7/23/12,11.532857,11.602858,11.214286,11.42,11.42,30965200
7/24/12,11.581429,11.781428,11.115714,11.484285,11.484285,64700300
7/25/12,9.172857,9.542857,8.457143,8.611428,8.611428,173470500
7/26/12,8.472857,8.494286,8.02,8.144286,8.144286,79756600
7/27/12,8.194285,8.467143,8.142858,8.417143,8.417143,38009300
7/30/12,8.418571,8.565714,8.047143,8.25,8.25,29932700
7/31/12,8.207143,8.331429,8.087143,8.121428,8.121428,17320800
8/1/12,8.204286,8.254286,7.728571,7.785714,7.785714,33832400
8/2/12,7.754286,7.955714,7.612857,7.695714,7.695714,23945600
8/3/12,7.837143,7.925714,7.544286,7.701428,7.701428,37295300
8/6/12,7.791429,8.167143,7.73,8.112857,8.112857,28527800
8/7/12,8.135715,8.495714,8.078571,8.271428,8.271428,30769900
8/8/12,8.224286,8.412857,8.167143,8.257143,8.257143,18194400
8/9/12,8.227143,8.35,8.178572,8.272857,8.272857,16492700
8/10/12,8.237143,8.651428,8.128572,8.557143,8.557143,35032200
8/13/12,8.745714,8.75,8.357142,8.558572,8.558572,33324900
8/14/12,8.66,9.014286,8.567142,8.822857,8.822857,48119400
8/15/12,8.861428,9.097143,8.831429,9.037143,9.037143,30844100
8/16/12,9.065714,9.227143,8.971429,9.187143,9.187143,17630900
8/17/12,9.268572,9.36,9.072857,9.098572,9.098572,22405600
8/20/12,9.091429,9.335714,8.88,9.177143,9.177143,26658800
8/21/12,9.305715,9.521428,9.235714,9.371428,9.371428,23355500
8/22/12,9.302857,9.485714,9.257143,9.342857,9.342857,18030600
8/23/12,9.431429,9.491428,9.082857,9.15,9.15,32580800
8/24/12,9.012857,9.114285,8.835714,9.022857,9.022857,26161800
8/27/12,9.045714,9.138572,8.894286,8.912857,8.912857,18046700
8/28/12,8.891429,9.084286,8.881429,8.992857,8.992857,15859200
8/29/12,9.007143,9.121428,8.935715,9.062857,9.062857,15660400
8/30/12,9.022857,9.054286,8.595715,8.64,8.64,18679500
8/31/12,8.758572,8.79,8.441428,8.531428,8.531428,29560300
9/4/12,8.285714,8.285714,7.59,7.99,7.99,87416700
9/5/12,7.942857,7.954286,7.761428,7.851429,7.851429,38565100
9/6/12,7.944286,8.112857,7.737143,8.092857,8.092857,37297400
9/7/12,8.097143,8.257143,7.978571,8.094286,8.094286,29617700
9/10/12,8.048572,8.147142,7.944286,7.988572,7.988572,24892700
9/11/12,7.985714,8.195714,7.871428,8.165714,8.165714,33040000
9/12/12,8.214286,8.361428,8.08,8.172857,8.172857,22096900
9/13/12,8.124286,8.311429,8.012857,8.285714,8.285714,24490900
9/14/12,8.357142,8.774285,8.328571,8.645715,8.645715,33067300
9/17/12,8.425714,8.428572,8.11,8.145715,8.145715,36278900
9/18/12,8.184286,8.331429,7.974286,8.008572,8.008572,30298100
9/19/12,8.105714,8.271428,7.957143,8.148571,8.148571,35348600
9/20/12,8.06,8.398571,8.057143,8.391429,8.391429,37217600
9/21/12,8.49,8.531428,8.201428,8.255714,8.255714,30074800
9/24/12,8.122857,8.262857,8.041429,8.055715,8.055715,23661400
9/25/12,8.107142,8.137143,7.671429,7.685714,7.685714,41858600
9/26/12,7.712857,7.99,7.578571,7.875714,7.875714,36625400
9/27/12,7.98,8.014286,7.737143,7.935714,7.935714,21350700
9/28/12,7.862857,7.972857,7.745714,7.777143,7.777143,15932700
10/1/12,7.8,8.085714,7.762857,8.007143,8.007143,30765700
10/2/12,8.064285,8.184286,7.9,8.065714,8.065714,21589400
10/3/12,8.341429,8.95,8.321428,8.94,8.94,76064800
10/4/12,8.95,9.61,8.944285,9.524285,9.524285,91616700
10/5/12,9.58,9.742857,9.302857,9.508572,9.508572,59170300
10/8/12,10.198571,10.604285,10.017143,10.502857,10.502857,92280300
10/9/12,9.842857,9.925714,9.342857,9.361428,9.361428,82145000
10/10/12,9.404285,9.704286,9.304286,9.357142,9.357142,38742900
10/11/12,9.557143,9.585714,9.318571,9.425714,9.425714,22013600
10/12/12,9.4,9.514286,9.108571,9.19,9.19,20710200
10/15/12,9.307143,9.311429,9.057143,9.251429,9.251429,20745200
10/16/12,9.271428,9.458571,9.108571,9.435715,9.435715,29302000
10/17/12,9.43,9.831429,9.377143,9.788571,9.788571,26464200
10/18/12,9.784286,9.977143,9.564285,9.622857,9.622857,26797400
10/19/12,9.598572,9.642858,9.18,9.282857,9.282857,22881600
10/22/12,9.194285,9.961429,9.184286,9.697143,9.697143,45678500
10/23/12,9.614285,9.878572,9.437143,9.745714,9.745714,63498400
10/24/12,8.265715,8.714286,8.2,8.588572,8.588572,100060100
10/25/12,8.578571,8.81,8.557143,8.787143,8.787143,33046300
10/26/12,8.792857,10.034286,8.641429,9.94,9.94,103433400
10/31/12,9.487143,12.135715,9.364285,11.32,11.32,107308600
11/1/12,11.121428,11.384286,10.664286,11.098572,11.098572,62669600
11/2/12,11.035714,11.407143,10.852858,10.985714,10.985714,29650600
11/5/12,10.652857,11.277143,10.642858,11.177143,11.177143,29016400
11/6/12,11.008572,11.421429,10.815714,10.91,10.91,39102700
11/7/12,10.918571,11.321428,10.918571,11.097143,11.097143,31099600
11/8/12,11.164286,11.475715,10.827143,10.852858,10.852858,33381600
11/9/12,10.901428,11.268572,10.872857,11.128572,11.128572,23272900
11/12/12,11.285714,11.472857,11.144286,11.17,11.17,18330200
11/13/12,11.12,11.562857,11.048572,11.372857,11.372857,27170500
11/14/12,11.428572,11.617143,11.25,11.397142,11.397142,26910800
11/15/12,11.444285,11.7,11.357142,11.64,11.64,17400600
11/16/12,11.611428,11.871428,11.474286,11.557143,11.557143,32164300
11/19/12,11.715714,11.855714,11.45,11.622857,11.622857,23267300
