AMZN_unscaled,AMZN_monthly,scale,AMZN
72,23.0,0.23,16.560000000000002
79,23.0,0.23,18.17
68,23.0,0.23,15.64
79,23.0,0.23,18.17
73,23.0,0.23,16.79
22,23.0,0.23,5.0600000000000005
13,23.0,0.23,2.99
75,23.0,0.23,17.25
95,23.0,0.23,21.85
75,23.0,0.23,17.25
74,23.0,0.23,17.02
71,23.0,0.23,16.330000000000002
14,23.0,0.23,3.22
3,38.0,0.38,1.1400000000000001
12,38.0,0.38,4.5600000000000005
13,38.0,0.38,4.94
14,38.0,0.38,5.32
13,38.0,0.38,4.94
18,38.0,0.38,6.84
4,38.0,0.38,1.52
3,38.0,0.38,1.1400000000000001
15,38.0,0.38,5.7
14,38.0,0.38,5.32
13,38.0,0.38,4.94
19,38.0,0.38,7.22
19,38.0,0.38,7.22
3,38.0,0.38,1.1400000000000001
3,38.0,0.38,1.1400000000000001
14,38.0,0.38,5.32
17,38.0,0.38,6.46
15,38.0,0.38,5.7
15,38.0,0.38,5.7
16,38.0,0.38,6.08
3,38.0,0.38,1.1400000000000001
2,38.0,0.38,0.76
14,38.0,0.38,5.32
19,38.0,0.38,7.22
17,38.0,0.38,6.46
61,38.0,0.38,23.18
100,38.0,0.38,38.0
22,38.0,0.38,8.36
8,38.0,0.38,3.04
36,38.0,0.38,13.68
27,38.0,0.38,10.26
72,36.0,0.36,25.919999999999998
60,36.0,0.36,21.599999999999998
63,36.0,0.36,22.68
20,36.0,0.36,7.199999999999999
15,36.0,0.36,5.3999999999999995
67,36.0,0.36,24.119999999999997
67,36.0,0.36,24.119999999999997
59,36.0,0.36,21.24
73,36.0,0.36,26.279999999999998
57,36.0,0.36,20.52
11,36.0,0.36,3.96
12,36.0,0.36,4.32
65,36.0,0.36,23.4
55,36.0,0.36,19.8
66,36.0,0.36,23.759999999999998
63,36.0,0.36,22.68
52,36.0,0.36,18.72
15,36.0,0.36,5.3999999999999995
13,36.0,0.36,4.68
51,36.0,0.36,18.36
54,36.0,0.36,19.439999999999998
70,36.0,0.36,25.2
21,36.0,0.36,7.56
67,36.0,0.36,24.119999999999997
48,36.0,0.36,17.28
30,36.0,0.36,10.799999999999999
87,36.0,0.36,31.32
85,36.0,0.36,30.599999999999998
100,36.0,0.36,36.0
87,36.0,0.36,31.32
89,28.0,0.28,24.92
31,28.0,0.28,8.680000000000001
17,28.0,0.28,4.760000000000001
100,28.0,0.28,28.000000000000004
82,28.0,0.28,22.96
84,28.0,0.28,23.520000000000003
77,28.0,0.28,21.560000000000002
75,28.0,0.28,21.000000000000004
22,28.0,0.28,6.16
15,28.0,0.28,4.2
59,28.0,0.28,16.520000000000003
67,28.0,0.28,18.76
66,28.0,0.28,18.48
62,28.0,0.28,17.360000000000003
68,28.0,0.28,19.040000000000003
20,28.0,0.28,5.6000000000000005
16,28.0,0.28,4.48
64,28.0,0.28,17.92
65,28.0,0.28,18.200000000000003
69,28.0,0.28,19.32
73,28.0,0.28,20.44
56,28.0,0.28,15.680000000000001
14,28.0,0.28,3.9200000000000004
11,28.0,0.28,3.08
10,28.0,0.28,2.8000000000000003
56,28.0,0.28,15.680000000000001
59,28.0,0.28,16.520000000000003
55,28.0,0.28,15.400000000000002
73,28.0,0.28,20.44
22,28.0,0.28,6.16
11,28.0,0.28,3.08
7,47.0,0.47,3.29
37,47.0,0.47,17.39
39,47.0,0.47,18.33
38,47.0,0.47,17.86
48,47.0,0.47,22.56
12,47.0,0.47,5.64
9,47.0,0.47,4.2299999999999995
43,47.0,0.47,20.209999999999997
49,47.0,0.47,23.029999999999998
45,47.0,0.47,21.15
45,47.0,0.47,21.15
58,47.0,0.47,27.259999999999998
23,47.0,0.47,10.809999999999999
12,47.0,0.47,5.64
18,47.0,0.47,8.459999999999999
61,47.0,0.47,28.669999999999998
49,47.0,0.47,23.029999999999998
50,47.0,0.47,23.5
46,47.0,0.47,21.619999999999997
15,47.0,0.47,7.05
8,47.0,0.47,3.76
56,47.0,0.47,26.32
63,47.0,0.47,29.61
71,47.0,0.47,33.37
62,47.0,0.47,29.139999999999997
74,47.0,0.47,34.78
28,47.0,0.47,13.16
13,47.0,0.47,6.109999999999999
64,47.0,0.47,30.08
99,47.0,0.47,46.529999999999994
100,47.0,0.47,47.0
78,74.0,0.74,57.72
100,74.0,0.74,74.0
18,74.0,0.74,13.32
6,74.0,0.74,4.4399999999999995
44,74.0,0.74,32.56
54,74.0,0.74,39.96
38,74.0,0.74,28.12
41,74.0,0.74,30.34
51,74.0,0.74,37.74
12,74.0,0.74,8.879999999999999
6,74.0,0.74,4.4399999999999995
34,74.0,0.74,25.16
33,74.0,0.74,24.419999999999998
34,74.0,0.74,25.16
35,74.0,0.74,25.9
27,74.0,0.74,19.98
7,74.0,0.74,5.18
4,74.0,0.74,2.96
10,74.0,0.74,7.4
28,74.0,0.74,20.72
31,74.0,0.74,22.94
30,74.0,0.74,22.2
29,74.0,0.74,21.46
8,74.0,0.74,5.92
5,74.0,0.74,3.7
29,74.0,0.74,21.46
28,74.0,0.74,20.72
27,74.0,0.74,19.98
40,61.0,0.61,24.4
43,61.0,0.61,26.23
13,61.0,0.61,7.93
7,61.0,0.61,4.27
34,61.0,0.61,20.74
42,61.0,0.61,25.62
43,61.0,0.61,26.23
42,61.0,0.61,25.62
46,61.0,0.61,28.06
13,61.0,0.61,7.93
9,61.0,0.61,5.49
41,61.0,0.61,25.009999999999998
45,61.0,0.61,27.45
41,61.0,0.61,25.009999999999998
44,61.0,0.61,26.84
35,61.0,0.61,21.349999999999998
10,61.0,0.61,6.1
7,61.0,0.61,4.27
44,61.0,0.61,26.84
50,61.0,0.61,30.5
40,61.0,0.61,24.4
49,61.0,0.61,29.89
45,61.0,0.61,27.45
11,61.0,0.61,6.71
7,61.0,0.61,4.27
50,61.0,0.61,30.5
53,61.0,0.61,32.33
98,61.0,0.61,59.78
100,61.0,0.61,61.0
36,61.0,0.61,21.96
17,61.0,0.61,10.37
8,80.0,0.8,6.4
66,80.0,0.8,52.800000000000004
64,80.0,0.8,51.2
47,80.0,0.8,37.6
44,80.0,0.8,35.2
44,80.0,0.8,35.2
8,80.0,0.8,6.4
6,80.0,0.8,4.800000000000001
32,80.0,0.8,25.6
31,80.0,0.8,24.8
28,80.0,0.8,22.400000000000002
28,80.0,0.8,22.400000000000002
28,80.0,0.8,22.400000000000002
8,80.0,0.8,6.4
5,80.0,0.8,4.0
28,80.0,0.8,22.400000000000002
32,80.0,0.8,25.6
46,80.0,0.8,36.800000000000004
47,80.0,0.8,37.6
33,80.0,0.8,26.400000000000002
8,80.0,0.8,6.4
6,80.0,0.8,4.800000000000001
30,80.0,0.8,24.0
37,80.0,0.8,29.6
42,80.0,0.8,33.6
86,80.0,0.8,68.8
100,80.0,0.8,80.0
15,80.0,0.8,12.0
7,80.0,0.8,5.6000000000000005
37,80.0,0.8,29.6
100,47.0,0.47,47.0
86,47.0,0.47,40.419999999999995
82,47.0,0.47,38.54
74,47.0,0.47,34.78
21,47.0,0.47,9.87
12,47.0,0.47,5.64
79,47.0,0.47,37.129999999999995
80,47.0,0.47,37.599999999999994
74,47.0,0.47,34.78
81,47.0,0.47,38.07
78,47.0,0.47,36.66
18,47.0,0.47,8.459999999999999
15,47.0,0.47,7.05
77,47.0,0.47,36.19
83,47.0,0.47,39.01
68,47.0,0.47,31.959999999999997
72,47.0,0.47,33.839999999999996
58,47.0,0.47,27.259999999999998
18,47.0,0.47,8.459999999999999
12,47.0,0.47,5.64
66,47.0,0.47,31.02
61,47.0,0.47,28.669999999999998
62,47.0,0.47,29.139999999999997
69,47.0,0.47,32.43
68,47.0,0.47,31.959999999999997
14,47.0,0.47,6.58
10,47.0,0.47,4.699999999999999
15,47.0,0.47,7.05
61,47.0,0.47,28.669999999999998
74,47.0,0.47,34.78
71,47.0,0.47,33.37
66,51.0,0.51,33.660000000000004
20,51.0,0.51,10.2
12,51.0,0.51,6.12
64,51.0,0.51,32.64
89,51.0,0.51,45.39
97,51.0,0.51,49.47
87,51.0,0.51,44.37
68,51.0,0.51,34.68
16,51.0,0.51,8.16
14,51.0,0.51,7.140000000000001
64,51.0,0.51,32.64
74,51.0,0.51,37.74
79,51.0,0.51,40.29
72,51.0,0.51,36.72
81,51.0,0.51,41.31
17,51.0,0.51,8.67
14,51.0,0.51,7.140000000000001
62,51.0,0.51,31.62
76,51.0,0.51,38.76
91,51.0,0.51,46.410000000000004
100,51.0,0.51,51.0
81,51.0,0.51,41.31
17,51.0,0.51,8.67
12,51.0,0.51,6.12
85,51.0,0.51,43.35
86,51.0,0.51,43.86
73,51.0,0.51,37.230000000000004
88,51.0,0.51,44.88
86,51.0,0.51,43.86
21,51.0,0.51,10.71
4,76.0,0.76,3.04
16,76.0,0.76,12.16
17,76.0,0.76,12.92
5,76.0,0.76,3.8
16,76.0,0.76,12.16
18,76.0,0.76,13.68
5,76.0,0.76,3.8
3,76.0,0.76,2.2800000000000002
16,76.0,0.76,12.16
18,76.0,0.76,13.68
18,76.0,0.76,13.68
27,76.0,0.76,20.52
29,76.0,0.76,22.04
7,76.0,0.76,5.32
4,76.0,0.76,3.04
39,76.0,0.76,29.64
39,76.0,0.76,29.64
34,76.0,0.76,25.84
27,76.0,0.76,20.52
26,76.0,0.76,19.76
6,76.0,0.76,4.5600000000000005
4,76.0,0.76,3.04
27,76.0,0.76,20.52
32,76.0,0.76,24.32
31,76.0,0.76,23.56
100,76.0,0.76,76.0
78,76.0,0.76,59.28
11,76.0,0.76,8.36
5,76.0,0.76,3.8
32,76.0,0.76,24.32
31,76.0,0.76,23.56
57,70.0,0.7,39.9
58,70.0,0.7,40.599999999999994
58,70.0,0.7,40.599999999999994
12,70.0,0.7,8.399999999999999
7,70.0,0.7,4.8999999999999995
44,70.0,0.7,30.799999999999997
47,70.0,0.7,32.9
56,70.0,0.7,39.199999999999996
63,70.0,0.7,44.099999999999994
50,70.0,0.7,35.0
12,70.0,0.7,8.399999999999999
7,70.0,0.7,4.8999999999999995
53,70.0,0.7,37.099999999999994
55,70.0,0.7,38.5
58,70.0,0.7,40.599999999999994
53,70.0,0.7,37.099999999999994
45,70.0,0.7,31.499999999999996
12,70.0,0.7,8.399999999999999
10,70.0,0.7,7.0
42,70.0,0.7,29.4
47,70.0,0.7,32.9
47,70.0,0.7,32.9
45,70.0,0.7,31.499999999999996
40,70.0,0.7,28.0
12,70.0,0.7,8.399999999999999
8,70.0,0.7,5.6
48,70.0,0.7,33.599999999999994
52,70.0,0.7,36.4
84,70.0,0.7,58.8
100,70.0,0.7,70.0
66,70.0,0.7,46.199999999999996
19,62.0,0.62,11.78
11,62.0,0.62,6.82
12,62.0,0.62,7.4399999999999995
100,62.0,0.62,62.0
88,62.0,0.62,54.56
88,62.0,0.62,54.56
